Time,Block,NR/30092023/26122029/SH-06,NR/2024/21243/A/26468,NR/2024/21099/A/26457,NR/2024/20877/A/26767,NR/2024/21142/A/26455,NR/30092023/31122025/SH-07,NR/01072024/31072024/NDMC/D-55/EE(POWER)2024,NR/2024/21153/A/26498,NR/2024/21159/A/26492,NR/2024/21199/A/26475,NR/2024/21183/A/26793,NR/2024/21148/A/26493,NR/2024/21173/A/26516,NR/2024/21210/A/26454,NR/01072024/31072024/APPCPL/180/F25/TGNA/3250,NR/01072024/31072024/	NR/01072024/31072024/TataPower-DDL/PMG/MSEDCL/Banking/12112023,NR/2024/21473/C,NR/2024/21156/A/26501,NR/2024/19779/A/26428,NR/2024/21472/C,NR/2024/21103/A/26729,NR/01072024/31072024/NDMC/D-54/EE(POWER)2024,NR/2024/21144/A/26521,NR/2024/21152/A/26426,NR/2024/21466/C,NR/2024/21108/A/26726,NR/2024/21072/A/26753,NR/2024/20573/A/26540,NR/2024/21089/A/26752,NR/01102023/25122043/GNA_MEJA_DELHI,NR/2024/21493/C,NR/2024/21062/A/26547,NR/2024/21113/A/26751,NR/2024/21158/A/26505,NR/2024/21087/A/26517,NR/01072024/31072024/IIPL/JPL(TM)-BRPL/BRPLT-169/24-25/02,NR/01102023/23072042/L_NR_2012_04,NR/2024/20711/A/26690,NR/2024/21312/A/26326,NR/2024/20966/A/26427,NR/2024/21075/A/26787,NR/2024/20574/A/26598,NR/2024/21150/A/26494,NR/2024/21104/A/26727,NR/2024/20688/A/26518,NR/2024/21238/A/26792,NR/01072024/15072024/NR/01072024/15072024/717759,NR/01072024/31072024/IIPL/JPL(SH)-BRPL/BRPL T-249/24-25/1,NR/2024/21487/C,NR/2024/21096/A/26741,NR/05072024/31072024/1000011449-JITPL-BRPL(DISCOM),NR/2024/21141/A/26456,NR/2024/21023/A/26476,NR/2024/21227/A/26728,NR/2024/21491/C,NR/2024/21339/A/26452,NR/01072024/31072024/R2,NR/2024/21076/A/26785,NR/2024/21146/A/26495,NR/2024/20930/A/26696,NR/01072024/31072024/Chanju/TPDDL/Jul01072024,NR/2024/21186/A/26764,NR/12072024/12072024/IEX_240711_01497,NR/2024/21160/A/26497,NR/01102023/14082046/L_NR_2021_16,NR/01102023/02012046/L_NR_2021_17,Total
55,13:30-13:45,26.910000,134.860000,20.470000,96.330000,40.940000,26.910000,15.520000,1.590000,0.880000,61.410000,0.000000,0.520000,20.710000,40.940000,0.000000,0.000000,24.080000,0.610000,0.960000,164.000000,83.980000,12.410000,0.480000,1.930000,240.820000,24.010000,37.210000,0.000000,37.210000,0.000000,0.000000,20.470000,37.210000,0.670000,20.710000,0.000000,0.000000,96.330000,11.560000,4.820000,11.700000,0.000000,0.880000,64.620000,66.650000,2.890000,0.000000,0.000000,0.000000,24.080000,0.000000,0.000000,61.600000,0.000000,0.000000,81.880000,0.000000,90.550000,0.360000,163.760000,12.690000,48.160000,0.000000,0.970000,0,0,1938.25

56,13:45-14:00,26.910000,134.860000,20.470000,96.330000,40.940000,26.910000,15.520000,1.590000,0.880000,61.410000,0.000000,0.520000,20.710000,40.940000,0.000000,0.000000,24.080000,0.610000,0.960000,164.000000,83.980000,12.410000,0.480000,1.930000,240.820000,24.010000,37.210000,0.000000,37.210000,0.000000,0.000000,20.470000,37.210000,0.670000,20.710000,0.000000,0.000000,96.330000,11.560000,4.820000,11.700000,0.000000,0.880000,64.620000,66.650000,2.890000,0.000000,0.000000,0.000000,24.080000,0.000000,0.000000,61.600000,0.000000,0.000000,81.880000,0.000000,90.550000,0.360000,163.760000,12.690000,48.160000,0.000000,0.970000,0,0,1938.25

57,14:00-14:15,26.910000,134.860000,20.470000,96.330000,40.940000,26.910000,15.520000,1.590000,0.880000,61.410000,0.000000,0.520000,20.710000,40.940000,0.000000,0.000000,24.080000,0.610000,0.960000,164.000000,83.980000,12.410000,0.480000,1.930000,240.820000,24.010000,37.210000,0.000000,37.210000,0.000000,0.000000,20.470000,37.210000,0.670000,20.710000,0.000000,0.000000,96.330000,10.600000,4.820000,11.700000,0.000000,0.880000,64.620000,66.650000,2.890000,0.000000,0.000000,0.000000,24.080000,0.000000,0.000000,61.600000,0.000000,0.000000,81.880000,0.000000,90.550000,0.360000,163.760000,10.850000,48.160000,0.000000,0.970000,0,0,1935.45

58,14:15-14:30,26.910000,134.860000,20.470000,96.330000,40.940000,26.910000,15.520000,1.590000,0.880000,61.410000,0.000000,0.520000,20.710000,40.940000,0.000000,0.000000,24.080000,0.610000,0.960000,164.000000,83.980000,12.410000,0.480000,1.930000,240.820000,24.010000,37.210000,0.000000,37.210000,0.000000,0.000000,20.470000,37.210000,0.670000,20.710000,0.000000,0.000000,96.330000,10.600000,4.820000,11.700000,0.000000,0.880000,64.620000,66.650000,2.890000,0.000000,0.000000,0.000000,24.080000,0.000000,0.000000,61.600000,0.000000,0.000000,81.880000,0.000000,90.550000,0.360000,163.760000,10.850000,48.160000,0.000000,0.970000,0,0,1935.45

59,14:30-14:45,26.910000,134.860000,20.470000,96.330000,40.940000,26.910000,15.520000,1.590000,0.880000,61.410000,0.000000,0.520000,20.710000,40.940000,0.000000,0.000000,24.080000,0.610000,0.960000,164.000000,83.980000,12.410000,0.480000,1.930000,240.820000,24.010000,37.210000,0.000000,37.210000,0.000000,0.000000,20.470000,37.210000,0.670000,20.710000,0.000000,0.000000,96.330000,10.600000,4.820000,11.700000,0.000000,0.880000,64.620000,66.650000,2.890000,0.000000,0.000000,0.000000,24.080000,0.000000,0.000000,61.600000,0.000000,0.000000,81.880000,0.000000,90.550000,0.360000,163.760000,10.850000,48.160000,0.000000,0.970000,0,0,1935.45

60,14:45-15:00,26.910000,134.860000,20.470000,96.330000,40.940000,26.910000,15.520000,1.590000,0.880000,61.410000,0.000000,0.520000,20.710000,40.940000,0.000000,0.000000,24.080000,0.610000,0.960000,164.000000,83.980000,12.410000,0.480000,1.930000,240.820000,24.010000,37.210000,0.000000,37.210000,0.000000,0.000000,20.470000,37.210000,0.670000,20.710000,0.000000,0.000000,96.330000,10.600000,4.820000,11.700000,0.000000,0.880000,64.620000,66.650000,2.890000,0.000000,0.000000,0.000000,24.080000,0.000000,0.000000,61.600000,0.000000,0.000000,81.880000,0.000000,90.550000,0.360000,163.760000,10.850000,48.160000,0.000000,0.970000,0,0,1935.45

61,15:00-15:15,26.910000,134.860000,20.470000,96.330000,40.940000,26.910000,15.520000,1.590000,0.880000,61.410000,0.000000,0.520000,20.710000,40.940000,0.000000,0.000000,24.080000,0.610000,0.960000,164.000000,83.980000,12.410000,0.480000,1.930000,240.820000,24.010000,37.210000,0.000000,37.210000,0.000000,0.000000,20.470000,37.210000,0.670000,20.710000,0.000000,0.000000,96.330000,10.600000,4.820000,11.700000,0.000000,0.880000,64.620000,66.650000,2.890000,0.000000,0.000000,0.000000,24.080000,0.000000,0.000000,61.600000,0.000000,0.000000,81.880000,0.000000,90.550000,0.360000,163.760000,10.850000,48.160000,0.000000,0.970000,0,0,1935.45

62,15:15-15:30,26.910000,134.860000,20.470000,96.330000,40.940000,26.910000,15.520000,1.590000,0.880000,61.410000,0.000000,0.520000,20.710000,40.940000,0.000000,0.000000,24.080000,0.610000,0.960000,164.000000,83.980000,12.410000,0.480000,1.930000,240.820000,24.010000,37.210000,0.000000,37.210000,0.000000,0.000000,20.470000,37.210000,0.670000,20.710000,0.000000,0.000000,96.330000,10.600000,4.820000,11.700000,0.000000,0.880000,64.620000,66.650000,2.890000,0.000000,0.000000,0.000000,24.080000,0.000000,0.000000,61.600000,0.000000,0.000000,81.880000,0.000000,90.550000,0.360000,163.760000,10.850000,48.160000,0.000000,0.970000,0,0,1935.45

63,15:30-15:45,26.910000,134.860000,20.470000,96.330000,40.940000,26.910000,15.520000,1.590000,0.880000,61.410000,0.000000,0.520000,20.710000,40.940000,0.000000,0.000000,24.080000,0.610000,0.960000,164.000000,83.980000,12.410000,0.480000,1.930000,240.820000,24.010000,37.210000,0.000000,37.210000,0.000000,0.000000,20.470000,37.210000,0.670000,20.710000,0.000000,0.000000,96.330000,10.600000,4.820000,11.700000,0.000000,0.880000,64.620000,66.650000,2.890000,0.000000,0.000000,0.000000,24.080000,0.000000,0.000000,61.600000,0.000000,0.000000,81.880000,0.000000,90.550000,0.360000,163.760000,10.850000,48.160000,0.000000,0.970000,0,0,1935.45

64,15:45-16:00,26.910000,134.860000,20.470000,96.330000,40.940000,26.910000,15.520000,1.590000,0.880000,61.410000,0.000000,0.520000,20.710000,40.940000,0.000000,0.000000,24.080000,0.610000,0.960000,164.000000,83.980000,12.410000,0.480000,1.930000,240.820000,24.010000,37.210000,0.000000,37.210000,0.000000,0.000000,20.470000,37.210000,0.670000,20.710000,0.000000,0.000000,96.330000,10.600000,4.820000,11.700000,0.000000,0.880000,64.620000,66.650000,2.890000,0.000000,0.000000,0.000000,24.080000,0.000000,0.000000,61.600000,0.000000,0.000000,81.880000,0.000000,90.550000,0.360000,163.760000,10.850000,48.160000,0.000000,0.970000,0,0,1935.45

65,16:00-16:15,26.910000,134.860000,20.470000,96.330000,40.940000,26.910000,15.520000,1.590000,0.880000,61.410000,0.000000,0.520000,20.710000,40.940000,0.000000,0.000000,24.080000,0.610000,0.820000,164.000000,83.980000,12.410000,0.480000,1.930000,240.820000,24.010000,37.210000,0.000000,37.210000,0.000000,0.000000,20.470000,37.210000,0.670000,20.710000,0.000000,0.000000,96.330000,10.600000,4.820000,11.700000,0.000000,0.880000,64.620000,66.650000,2.890000,0.000000,0.000000,0.000000,24.080000,0.000000,0.000000,61.600000,0.000000,0.000000,81.880000,0.000000,90.550000,0.360000,163.760000,13.610000,48.160000,0.000000,0.970000,0,0,1938.07

66,16:15-16:30,26.910000,134.860000,20.470000,96.330000,40.940000,26.910000,15.520000,1.590000,0.880000,61.410000,0.000000,0.520000,20.710000,40.940000,0.000000,0.000000,24.080000,0.610000,0.820000,164.000000,83.980000,12.410000,0.480000,1.930000,240.820000,24.010000,37.210000,0.000000,37.210000,0.000000,0.000000,20.470000,37.210000,0.670000,20.710000,0.000000,0.000000,96.330000,10.600000,4.820000,11.700000,0.000000,0.880000,64.620000,66.650000,2.890000,0.000000,0.000000,0.000000,24.080000,0.000000,0.000000,61.600000,0.000000,0.000000,81.880000,0.000000,90.550000,0.360000,163.760000,13.610000,48.160000,0.000000,0.970000,0,0,1938.07

67,16:30-16:45,26.910000,134.860000,20.470000,96.330000,40.940000,26.910000,15.520000,1.590000,0.880000,61.410000,0.000000,0.520000,20.710000,40.940000,0.000000,0.000000,24.080000,0.610000,0.820000,164.000000,83.980000,12.410000,0.480000,1.930000,240.820000,24.010000,37.210000,0.000000,37.210000,0.000000,0.000000,20.470000,37.210000,0.670000,20.710000,0.000000,0.000000,96.330000,10.600000,4.820000,11.700000,0.000000,0.880000,64.620000,66.650000,2.890000,0.000000,0.000000,0.000000,24.080000,0.000000,0.000000,61.600000,0.000000,0.000000,81.880000,0.000000,90.550000,0.360000,163.760000,13.610000,48.160000,0.000000,0.970000,0,0,1938.07

68,16:45-17:00,26.910000,134.860000,20.470000,96.330000,40.940000,26.910000,15.520000,1.590000,0.880000,61.410000,0.000000,0.520000,20.710000,40.940000,0.000000,0.000000,24.080000,0.610000,0.820000,164.000000,83.980000,12.410000,0.480000,1.930000,240.820000,24.010000,37.210000,0.000000,37.210000,0.000000,0.000000,20.470000,37.210000,0.670000,20.710000,0.000000,0.000000,96.330000,10.600000,4.820000,11.700000,0.000000,0.880000,64.620000,66.650000,2.890000,0.000000,0.000000,0.000000,24.080000,0.000000,0.000000,61.600000,0.000000,0.000000,81.880000,0.000000,90.550000,0.360000,163.760000,13.610000,48.160000,0.000000,0.970000,0,0,1938.07

69,17:00-17:15,26.910000,134.860000,20.470000,96.330000,40.940000,26.910000,15.520000,1.590000,0.880000,61.410000,0.000000,0.520000,20.710000,40.940000,0.000000,0.000000,24.080000,0.610000,0.820000,164.000000,83.980000,12.410000,0.480000,1.930000,240.820000,24.010000,37.210000,0.000000,37.210000,0.000000,0.000000,20.470000,37.210000,0.670000,20.710000,0.000000,0.000000,96.330000,10.600000,4.820000,11.700000,0.000000,0.880000,64.620000,66.650000,2.890000,0.000000,0.000000,0.000000,24.080000,0.000000,0.000000,61.600000,0.000000,0.000000,81.880000,0.000000,90.550000,0.360000,163.760000,14.530000,48.160000,0.000000,0.970000,0,0,1938.99

70,17:15-17:30,26.910000,134.860000,20.470000,96.330000,40.940000,26.910000,15.520000,1.590000,0.880000,61.410000,0.000000,0.520000,20.710000,40.940000,0.000000,0.000000,24.080000,0.610000,0.820000,164.000000,83.980000,12.410000,0.480000,1.930000,240.820000,24.010000,37.210000,0.000000,37.210000,0.000000,0.000000,20.470000,37.210000,0.670000,20.710000,0.000000,0.000000,96.330000,10.600000,4.820000,11.700000,0.000000,0.880000,64.620000,66.650000,2.890000,0.000000,0.000000,0.000000,24.080000,0.000000,0.000000,61.600000,0.000000,0.000000,81.880000,0.000000,90.550000,0.360000,163.760000,14.530000,48.160000,0.000000,0.970000,0,0,1938.99

71,17:30-17:45,26.910000,134.860000,20.470000,96.330000,40.940000,26.910000,15.520000,1.590000,0.880000,61.410000,0.000000,0.520000,20.710000,40.940000,0.000000,0.000000,24.080000,0.610000,0.820000,164.000000,83.980000,12.410000,0.480000,1.930000,240.820000,24.010000,37.210000,0.000000,37.210000,0.000000,0.000000,20.470000,37.210000,0.670000,20.710000,0.000000,0.000000,96.330000,10.600000,4.820000,11.700000,0.000000,0.880000,64.620000,66.650000,2.890000,0.000000,0.000000,0.000000,24.080000,0.000000,0.000000,61.600000,0.000000,0.000000,81.880000,0.000000,90.550000,0.360000,163.760000,14.530000,48.160000,0.000000,0.970000,0,0,1938.99

72,17:45-18:00,26.910000,134.860000,20.470000,96.330000,40.940000,26.910000,15.520000,1.590000,0.880000,61.410000,0.000000,0.520000,20.710000,40.940000,0.000000,0.000000,24.080000,0.610000,0.820000,164.000000,83.980000,12.410000,0.480000,1.930000,240.820000,24.010000,37.210000,0.000000,37.210000,0.000000,0.000000,20.470000,37.210000,0.670000,20.710000,0.000000,0.000000,96.330000,10.600000,4.820000,11.700000,0.000000,0.880000,64.620000,66.650000,2.890000,0.000000,0.000000,0.000000,24.080000,0.000000,0.000000,61.600000,0.000000,0.000000,81.880000,0.000000,90.550000,0.360000,163.760000,14.530000,48.160000,0.000000,0.970000,0,0,1938.99

73,18:00-18:15,26.910000,134.860000,20.470000,96.330000,40.940000,26.910000,15.520000,1.590000,0.880000,0.000000,0.000000,0.520000,20.710000,40.940000,0.000000,0.000000,24.080000,0.610000,0.820000,164.000000,83.980000,12.410000,0.480000,1.930000,240.820000,24.010000,37.210000,0.000000,37.210000,0.000000,0.000000,0.000000,37.210000,0.670000,20.710000,61.600000,0.000000,96.330000,8.670000,4.820000,0.000000,0.000000,0.880000,64.620000,66.650000,2.890000,163.760000,61.410000,0.000000,24.080000,81.880000,47.640000,0.000000,0.000000,1.930000,0.000000,20.470000,90.550000,0.360000,0.000000,14.530000,48.160000,0.000000,0.970000,0,0,1974.93

74,18:15-18:30,26.910000,134.860000,20.470000,96.330000,40.940000,26.910000,15.520000,1.590000,0.880000,0.000000,0.000000,0.520000,20.710000,40.940000,0.000000,0.000000,24.080000,0.610000,0.820000,164.000000,83.980000,12.410000,0.480000,1.930000,240.820000,24.010000,37.210000,0.000000,37.210000,0.000000,0.000000,0.000000,37.210000,0.670000,20.710000,61.600000,0.000000,96.330000,8.670000,4.820000,0.000000,0.000000,0.880000,64.620000,66.650000,2.890000,163.760000,61.410000,0.000000,24.080000,81.880000,47.640000,0.000000,0.000000,1.930000,0.000000,20.470000,90.550000,0.360000,0.000000,14.530000,48.160000,0.000000,0.970000,0,0,1974.93

75,18:30-18:45,26.910000,134.860000,20.470000,96.330000,40.940000,26.330000,15.520000,1.590000,0.880000,0.000000,0.000000,0.520000,20.710000,40.940000,0.000000,0.000000,24.080000,0.610000,0.820000,164.000000,83.980000,12.410000,0.480000,1.930000,240.820000,24.010000,37.210000,0.000000,37.210000,0.000000,0.000000,0.000000,37.210000,0.670000,20.710000,61.600000,0.000000,96.330000,8.670000,4.820000,0.000000,0.000000,0.880000,64.620000,66.650000,2.890000,163.760000,61.410000,0.000000,43.350000,81.880000,47.640000,0.000000,0.000000,1.930000,0.000000,20.470000,90.550000,0.360000,0.000000,14.530000,48.160000,0.000000,0.970000,0,0,1993.62

76,18:45-19:00,25.400000,134.860000,20.470000,96.330000,40.940000,23.560000,15.520000,1.590000,0.880000,0.000000,0.000000,0.520000,20.710000,40.940000,0.000000,0.000000,24.080000,0.610000,0.820000,164.000000,83.980000,12.410000,0.480000,1.930000,240.820000,24.010000,37.210000,0.000000,37.210000,0.000000,0.000000,0.000000,37.210000,0.670000,20.710000,61.600000,0.000000,96.330000,8.670000,4.820000,0.000000,0.000000,0.880000,64.620000,66.650000,2.890000,163.760000,61.410000,0.000000,43.350000,81.880000,47.640000,0.000000,0.000000,1.930000,0.000000,20.470000,90.550000,0.360000,0.000000,14.530000,48.160000,0.000000,0.970000,0,0,1989.34

77,19:00-19:15,22.480000,134.860000,20.470000,96.330000,40.940000,32.000000,15.520000,1.590000,0.880000,0.000000,0.000000,0.520000,20.710000,40.940000,0.000000,0.000000,0.000000,0.610000,0.820000,164.000000,83.980000,12.410000,0.480000,1.930000,240.820000,24.010000,37.210000,0.000000,37.210000,0.000000,0.000000,0.000000,37.210000,0.670000,20.710000,61.600000,0.000000,96.330000,8.670000,4.820000,0.000000,0.000000,0.880000,64.620000,66.650000,2.890000,163.760000,61.410000,0.000000,43.350000,81.880000,47.640000,0.000000,0.000000,1.930000,0.000000,20.470000,90.550000,0.360000,0.000000,14.530000,48.160000,0.000000,0.970000,0,0,1970.78

78,19:15-19:30,22.480000,134.860000,20.470000,96.330000,40.940000,32.000000,15.520000,1.590000,0.880000,0.000000,0.000000,0.520000,20.710000,40.940000,0.000000,0.000000,0.000000,0.610000,0.820000,164.000000,83.980000,12.410000,0.480000,1.930000,240.820000,24.010000,37.210000,0.000000,37.210000,0.000000,0.000000,0.000000,37.210000,0.670000,20.710000,61.600000,0.000000,96.330000,8.670000,4.820000,0.000000,0.000000,0.880000,64.620000,66.650000,2.890000,163.760000,61.410000,0.000000,43.350000,81.880000,47.640000,0.000000,0.000000,1.930000,0.000000,20.470000,90.550000,0.360000,0.000000,14.530000,48.160000,0.000000,0.970000,0,0,1970.78

79,19:30-19:45,16.470000,134.860000,20.470000,96.330000,40.940000,16.470000,15.520000,1.590000,0.880000,0.000000,0.000000,0.520000,20.710000,40.940000,0.000000,0.000000,0.000000,0.610000,0.820000,164.000000,83.980000,12.410000,0.480000,1.930000,240.820000,24.010000,37.210000,0.000000,37.210000,0.000000,0.000000,0.000000,37.210000,0.670000,20.710000,61.600000,0.000000,96.330000,8.670000,4.820000,0.000000,0.000000,0.880000,64.620000,66.650000,2.890000,163.760000,61.410000,0.000000,43.350000,81.880000,47.640000,0.000000,0.000000,1.930000,0.000000,20.470000,90.550000,0.360000,0.000000,14.530000,48.160000,0.000000,0.970000,0,0,1949.24

80,19:45-20:00,16.470000,134.860000,20.470000,96.330000,40.940000,16.470000,15.520000,1.590000,0.880000,0.000000,0.000000,0.520000,20.710000,40.940000,0.000000,0.000000,0.000000,0.610000,0.820000,164.000000,83.980000,12.410000,0.480000,1.930000,240.820000,24.010000,37.210000,0.000000,37.210000,0.000000,0.000000,0.000000,37.210000,0.670000,20.710000,61.600000,0.000000,96.330000,8.670000,4.820000,0.000000,0.000000,0.880000,64.620000,66.650000,2.890000,163.760000,61.410000,0.000000,43.350000,81.880000,47.640000,0.000000,0.000000,1.930000,0.000000,20.470000,90.550000,0.360000,0.000000,14.530000,48.160000,0.000000,0.970000,0,0,1949.24

81,20:00-20:15,16.470000,134.860000,20.470000,96.330000,40.940000,16.470000,15.520000,1.590000,0.880000,0.000000,0.000000,0.520000,20.710000,40.940000,0.000000,0.000000,0.000000,0.610000,0.870000,164.000000,83.980000,12.410000,0.480000,1.930000,240.820000,24.010000,37.210000,0.000000,37.210000,0.000000,0.000000,0.000000,37.210000,0.670000,20.710000,61.600000,0.000000,96.330000,8.670000,4.820000,0.000000,0.000000,0.880000,64.620000,66.650000,2.890000,163.760000,61.410000,0.000000,43.350000,81.880000,47.640000,0.000000,0.000000,1.930000,0.000000,20.470000,90.550000,0.360000,0.000000,13.150000,48.160000,0.000000,0.970000,0,0,1947.91

82,20:15-20:30,16.470000,134.860000,20.470000,96.330000,40.940000,16.470000,15.520000,1.590000,0.880000,0.000000,0.000000,0.520000,20.710000,40.940000,0.000000,0.000000,0.000000,0.610000,0.870000,164.000000,83.980000,12.410000,0.480000,1.930000,240.820000,24.010000,37.210000,0.000000,37.210000,0.000000,0.000000,0.000000,37.210000,0.670000,20.710000,61.600000,0.000000,96.330000,8.670000,4.820000,0.000000,0.000000,0.880000,64.620000,66.650000,2.890000,163.760000,61.410000,0.000000,43.350000,81.880000,47.640000,0.000000,0.000000,1.930000,0.000000,20.470000,90.550000,0.360000,0.000000,13.150000,48.160000,0.000000,0.970000,0,0,1947.91

83,20:30-20:45,32.000000,134.860000,20.470000,96.330000,40.940000,0.000000,15.520000,1.590000,0.880000,0.000000,0.000000,0.520000,20.710000,40.940000,0.000000,0.000000,0.000000,0.610000,0.870000,164.000000,83.980000,12.410000,0.480000,1.930000,240.820000,24.010000,37.210000,0.000000,37.210000,0.000000,0.000000,0.000000,37.210000,0.670000,20.710000,61.600000,0.000000,96.330000,8.670000,4.820000,0.000000,0.000000,0.880000,64.620000,66.650000,2.890000,163.760000,61.410000,0.000000,43.350000,81.880000,47.640000,0.000000,0.000000,1.930000,0.000000,20.470000,90.550000,0.360000,0.000000,13.150000,48.160000,0.000000,0.970000,0,0,1946.97

84,20:45-21:00,32.000000,134.860000,20.470000,96.330000,40.940000,0.000000,15.520000,1.590000,0.880000,0.000000,0.000000,0.520000,20.710000,40.940000,0.000000,0.000000,0.000000,0.610000,0.870000,164.000000,83.980000,12.410000,0.480000,1.930000,240.820000,24.010000,37.210000,0.000000,37.210000,0.000000,0.000000,0.000000,37.210000,0.670000,20.710000,61.600000,0.000000,96.330000,8.670000,4.820000,0.000000,0.000000,0.880000,64.620000,66.650000,2.890000,163.760000,61.410000,0.000000,43.350000,81.880000,47.640000,0.000000,0.000000,1.930000,0.000000,20.470000,90.550000,0.360000,0.000000,13.150000,48.160000,0.000000,0.970000,0,0,1946.97

85,21:00-21:15,0.000000,134.860000,20.470000,96.330000,40.940000,32.000000,15.520000,1.590000,0.880000,0.000000,0.000000,0.520000,20.710000,40.940000,0.000000,0.000000,0.000000,0.610000,0.870000,164.000000,83.980000,12.410000,0.480000,1.930000,240.820000,24.010000,37.210000,0.000000,37.210000,0.000000,48.160000,0.000000,37.210000,0.670000,20.710000,61.600000,0.000000,96.330000,8.670000,4.820000,0.000000,0.000000,0.880000,64.620000,66.650000,2.890000,163.760000,61.410000,0.000000,43.350000,81.880000,47.640000,0.000000,0.000000,1.930000,0.000000,20.470000,90.550000,0.360000,0.000000,13.150000,48.160000,0.000000,0.970000,0,0,1995.13

86,21:15-21:30,0.000000,134.860000,20.470000,96.330000,40.940000,32.000000,15.520000,1.590000,0.880000,0.000000,0.000000,0.520000,20.710000,40.940000,0.000000,0.000000,0.000000,0.610000,0.870000,164.000000,83.980000,12.410000,0.480000,1.930000,240.820000,24.010000,37.210000,0.000000,37.210000,0.000000,48.160000,0.000000,37.210000,0.670000,20.710000,61.600000,0.000000,96.330000,8.670000,4.820000,0.000000,0.000000,0.880000,64.620000,66.650000,2.890000,163.760000,61.410000,0.000000,43.350000,81.880000,47.640000,0.000000,0.000000,1.930000,0.000000,20.470000,90.550000,0.360000,0.000000,13.150000,48.160000,0.000000,0.970000,0,0,1995.13

87,21:30-21:45,0.000000,134.860000,20.470000,96.330000,40.940000,0.000000,15.520000,1.590000,0.880000,0.000000,0.000000,0.520000,20.710000,40.940000,0.000000,0.000000,0.000000,0.610000,0.870000,164.000000,83.980000,12.410000,0.480000,1.930000,240.820000,24.010000,37.210000,0.000000,37.210000,0.000000,48.160000,0.000000,37.210000,0.670000,20.710000,61.600000,0.000000,96.330000,8.670000,4.820000,0.000000,0.000000,0.880000,64.620000,66.650000,2.890000,163.760000,61.410000,0.000000,43.350000,81.880000,47.640000,0.000000,0.000000,1.930000,0.000000,20.470000,90.550000,0.360000,0.000000,13.150000,48.160000,0.000000,0.970000,0,0,1963.13

88,21:45-22:00,0.000000,134.860000,20.470000,96.330000,40.940000,0.000000,15.520000,1.590000,0.880000,0.000000,0.000000,0.520000,20.710000,40.940000,0.000000,0.000000,0.000000,0.610000,0.870000,164.000000,83.980000,12.410000,0.480000,1.930000,240.820000,24.010000,37.210000,0.000000,37.210000,0.000000,48.160000,0.000000,37.210000,0.670000,20.710000,61.600000,0.000000,96.330000,8.670000,4.820000,0.000000,0.000000,0.880000,64.620000,66.650000,2.890000,163.760000,61.410000,0.000000,43.350000,81.880000,47.640000,0.000000,0.000000,1.930000,0.000000,20.470000,90.550000,0.360000,0.000000,13.150000,48.160000,0.000000,0.970000,0,0,1963.13

89,22:00-22:15,0.000000,134.860000,20.470000,96.330000,40.940000,30.500000,15.520000,1.590000,0.880000,0.000000,0.000000,0.520000,20.710000,40.940000,0.000000,0.000000,0.000000,0.610000,0.870000,164.000000,83.980000,12.410000,0.480000,1.930000,240.820000,24.010000,37.210000,54.190000,37.210000,0.000000,72.250000,0.000000,37.210000,0.670000,20.710000,61.600000,0.000000,96.330000,7.710000,4.820000,0.000000,18.060000,0.880000,64.620000,66.650000,2.890000,163.760000,61.410000,0.000000,43.350000,81.880000,47.640000,0.000000,12.190000,2.890000,0.000000,20.470000,90.550000,0.360000,0.000000,13.150000,48.160000,0.000000,0.970000,0,0,2102.16

90,22:15-22:30,0.000000,134.860000,20.470000,96.330000,40.940000,30.500000,15.520000,1.590000,0.880000,0.000000,0.000000,0.520000,20.710000,40.940000,0.000000,0.000000,0.000000,0.610000,0.870000,164.000000,83.980000,12.410000,0.480000,1.930000,240.820000,24.010000,37.210000,54.190000,37.210000,0.000000,72.250000,0.000000,37.210000,0.670000,20.710000,61.600000,0.000000,96.330000,7.710000,4.820000,0.000000,18.060000,0.880000,64.620000,66.650000,2.890000,163.760000,61.410000,0.000000,43.350000,81.880000,47.640000,0.000000,12.190000,2.890000,0.000000,20.470000,90.550000,0.360000,0.000000,13.150000,48.160000,0.000000,0.970000,0,0,2102.16

91,22:30-22:45,7.170000,134.860000,20.470000,96.330000,40.940000,7.170000,15.520000,1.590000,0.880000,0.000000,0.000000,0.520000,20.710000,40.940000,0.000000,0.000000,0.000000,0.610000,0.870000,164.000000,83.980000,12.410000,0.480000,1.930000,240.820000,24.010000,37.210000,54.190000,37.210000,0.000000,72.250000,0.000000,37.210000,0.670000,20.710000,61.600000,0.000000,96.330000,7.710000,4.820000,0.000000,18.060000,0.880000,64.620000,66.650000,2.890000,163.760000,61.410000,0.000000,67.430000,81.880000,47.640000,0.000000,12.190000,0.960000,0.000000,20.470000,90.550000,0.360000,0.000000,13.150000,48.160000,0.000000,0.970000,0,0,2108.15

